Index,beta,z,kappa
0,0.049999999999999996,1.0,0.1
1,0.049999999999999996,1.0,0.2
2,0.049999999999999996,1.0,0.30000000000000004
3,0.049999999999999996,1.0,0.4
4,0.049999999999999996,1.0,0.5
5,0.049999999999999996,1.0,0.6
6,0.049999999999999996,1.0,0.7000000000000001
7,0.049999999999999996,1.0,0.8
8,0.049999999999999996,1.0,0.9
9,0.049999999999999996,1.0,1.0
10,0.049999999999999996,1.0,1.1
11,0.049999999999999996,1.0,1.2000000000000002
12,0.049999999999999996,1.0,1.3000000000000003
13,0.049999999999999996,1.0,1.4000000000000001
14,0.049999999999999996,1.0,1.5000000000000002
15,0.049999999999999996,1.0,1.6
16,0.049999999999999996,1.0,1.7000000000000002
17,0.049999999999999996,1.0,1.8000000000000003
18,0.049999999999999996,1.0,1.9000000000000001
19,0.049999999999999996,1.0,2.0
20,0.049999999999999996,1.0,2.1
21,0.049999999999999996,1.0,2.2
22,0.049999999999999996,1.0,2.3000000000000003
23,0.049999999999999996,1.0,2.4000000000000004
24,0.049999999999999996,1.0,2.5000000000000004
25,0.049999999999999996,1.0,2.6
26,0.049999999999999996,1.0,2.7
27,0.049999999999999996,1.0,2.8000000000000003
28,0.049999999999999996,1.0,2.9000000000000004
29,0.049999999999999996,1.0,3.0000000000000004
30,0.049999999999999996,1.0,3.1
31,0.049999999999999996,1.0,3.2
32,0.049999999999999996,1.0,3.3000000000000003
33,0.049999999999999996,1.0,3.4000000000000004
34,0.049999999999999996,1.0,3.5000000000000004
35,0.049999999999999996,1.0,3.6
36,0.049999999999999996,1.0,3.7
37,0.049999999999999996,1.0,3.8000000000000003
38,0.049999999999999996,1.0,3.9000000000000004
39,0.049999999999999996,1.0,4.0
40,0.049999999999999996,1.2,0.1
41,0.049999999999999996,1.2,0.2
42,0.049999999999999996,1.2,0.30000000000000004
43,0.049999999999999996,1.2,0.4
44,0.049999999999999996,1.2,0.5
45,0.049999999999999996,1.2,0.6
46,0.049999999999999996,1.2,0.7000000000000001
47,0.049999999999999996,1.2,0.8
48,0.049999999999999996,1.2,0.9
49,0.049999999999999996,1.2,1.0
50,0.049999999999999996,1.2,1.1
51,0.049999999999999996,1.2,1.2000000000000002
52,0.049999999999999996,1.2,1.3000000000000003
53,0.049999999999999996,1.2,1.4000000000000001
54,0.049999999999999996,1.2,1.5000000000000002
55,0.049999999999999996,1.2,1.6
56,0.049999999999999996,1.2,1.7000000000000002
57,0.049999999999999996,1.2,1.8000000000000003
58,0.049999999999999996,1.2,1.9000000000000001
59,0.049999999999999996,1.2,2.0
60,0.049999999999999996,1.2,2.1
61,0.049999999999999996,1.2,2.2
62,0.049999999999999996,1.2,2.3000000000000003
63,0.049999999999999996,1.2,2.4000000000000004
64,0.049999999999999996,1.2,2.5000000000000004
65,0.049999999999999996,1.2,2.6
66,0.049999999999999996,1.2,2.7
67,0.049999999999999996,1.2,2.8000000000000003
68,0.049999999999999996,1.2,2.9000000000000004
69,0.049999999999999996,1.2,3.0000000000000004
70,0.049999999999999996,1.2,3.1
71,0.049999999999999996,1.2,3.2
72,0.049999999999999996,1.2,3.3000000000000003
73,0.049999999999999996,1.2,3.4000000000000004
74,0.049999999999999996,1.2,3.5000000000000004
75,0.049999999999999996,1.2,3.6
76,0.049999999999999996,1.2,3.7
77,0.049999999999999996,1.2,3.8000000000000003
78,0.049999999999999996,1.2,3.9000000000000004
79,0.049999999999999996,1.2,4.0
